HOG	OG	Gene Tree Parent Clade	data_Cint	model_Cint
N0.HOG0001180	OG0000979	-	SGZ47448.1	Candida_intermedia@Seq_1310
N0.HOG0001181	OG0000980	-	SGZ47450.1	Candida_intermedia@Seq_4777
N0.HOG0001182	OG0000981	-	SGZ47451.1	Candida_intermedia@Seq_3107
N0.HOG0001183	OG0000982	-	SGZ47453.1	Candida_intermedia@Seq_1665
N0.HOG0001184	OG0000983	-	SGZ47454.1	Candida_intermedia@Seq_1926
N0.HOG0001185	OG0000984	-	SGZ47455.1	Candida_intermedia@Seq_5141
N0.HOG0001186	OG0000985	-	SGZ47456.1	Candida_intermedia@Seq_241
N0.HOG0001187	OG0000986	-	SGZ47457.1	Candida_intermedia@Seq_4654
N0.HOG0001188	OG0000987	-	SGZ47459.1	Candida_intermedia@Seq_1484
N0.HOG0001189	OG0000988	-	SGZ47460.1	Candida_intermedia@Seq_1717
N0.HOG0001190	OG0000989	-	SGZ47462.1	Candida_intermedia@Seq_3253
N0.HOG0001191	OG0000990	-	SGZ47464.1	Candida_intermedia@Seq_1754
N0.HOG0001192	OG0000991	-	SGZ47467.1	Candida_intermedia@Seq_4073
N0.HOG0001193	OG0000992	-	SGZ47468.1	Candida_intermedia@Seq_347
N0.HOG0001194	OG0000993	-	SGZ47469.1	Candida_intermedia@Seq_4214
N0.HOG0001195	OG0000994	-	SGZ47470.1	Candida_intermedia@Seq_4828
N0.HOG0001196	OG0000995	-	SGZ47472.1	Candida_intermedia@Seq_3470
N0.HOG0001197	OG0000996	-	SGZ47473.1	Candida_intermedia@Seq_2757
N0.HOG0001198	OG0000997	-	SGZ47474.1	Candida_intermedia@Seq_4802
N0.HOG0001199	OG0000998	-	SGZ47476.1	Candida_intermedia@Seq_486
N0.HOG0001200	OG0000999	-	SGZ47477.1	Candida_intermedia@Seq_1086
N0.HOG0001201	OG0001000	-	SGZ47478.1	Candida_intermedia@Seq_4643
N0.HOG0001202	OG0001001	-	SGZ47479.1	Candida_intermedia@Seq_1750
N0.HOG0001203	OG0001002	-	SGZ47480.1	Candida_intermedia@Seq_1834
N0.HOG0001204	OG0001003	-	SGZ47481.1	Candida_intermedia@Seq_2443
N0.HOG0001205	OG0001004	-	SGZ47483.1	Candida_intermedia@Seq_1038
N0.HOG0001206	OG0001005	-	SGZ47485.1	Candida_intermedia@Seq_3691
N0.HOG0001207	OG0001006	-	SGZ47486.1	Candida_intermedia@Seq_3584
N0.HOG0001208	OG0001007	-	SGZ47487.1	Candida_intermedia@Seq_5435
N0.HOG0001209	OG0001008	-	SGZ47489.1	Candida_intermedia@Seq_4702
N0.HOG0001210	OG0001009	-	SGZ47490.1	Candida_intermedia@Seq_1156
N0.HOG0001211	OG0001010	-	SGZ47491.1	Candida_intermedia@Seq_344
N0.HOG0001212	OG0001011	-	SGZ47492.1	Candida_intermedia@Seq_949
N0.HOG0001213	OG0001012	-	SGZ47494.1	Candida_intermedia@Seq_4109
N0.HOG0001214	OG0001013	-	SGZ47496.1	Candida_intermedia@Seq_2781
N0.HOG0001215	OG0001014	-	SGZ47497.1	Candida_intermedia@Seq_3138
N0.HOG0001216	OG0001015	-	SGZ47498.1	Candida_intermedia@Seq_4808
N0.HOG0001217	OG0001016	-	SGZ47499.1	Candida_intermedia@Seq_3693
N0.HOG0001218	OG0001017	-	SGZ47500.1	Candida_intermedia@Seq_4066
N0.HOG0001219	OG0001018	-	SGZ47502.1	Candida_intermedia@Seq_2117
N0.HOG0001220	OG0001019	-	SGZ47503.1	Candida_intermedia@Seq_2286
N0.HOG0001221	OG0001020	-	SGZ47505.1	Candida_intermedia@Seq_1928
N0.HOG0001222	OG0001021	-	SGZ47507.1	Candida_intermedia@Seq_1180
N0.HOG0001223	OG0001022	-	SGZ47509.1	Candida_intermedia@Seq_1503
N0.HOG0001224	OG0001023	-	SGZ47510.1	Candida_intermedia@Seq_3119
N0.HOG0001225	OG0001024	-	SGZ47511.1	Candida_intermedia@Seq_1685
N0.HOG0001226	OG0001025	-	SGZ47512.1	Candida_intermedia@Seq_3497
N0.HOG0001227	OG0001026	-	SGZ47513.1	Candida_intermedia@Seq_4751
N0.HOG0001228	OG0001027	-	SGZ47516.1	Candida_intermedia@Seq_487
N0.HOG0001229	OG0001028	-	SGZ47518.1	Candida_intermedia@Seq_1572
N0.HOG0001230	OG0001029	-	SGZ47519.1	Candida_intermedia@Seq_2719
N0.HOG0001231	OG0001030	-	SGZ47522.1	Candida_intermedia@Seq_3148
N0.HOG0001232	OG0001031	-	SGZ47523.1	Candida_intermedia@Seq_2160
N0.HOG0001233	OG0001032	-	SGZ47525.1	Candida_intermedia@Seq_165
N0.HOG0001234	OG0001033	-	SGZ47526.1	Candida_intermedia@Seq_3301
N0.HOG0001235	OG0001034	-	SGZ47529.1	Candida_intermedia@Seq_1382
N0.HOG0001236	OG0001035	-	SGZ47531.1	Candida_intermedia@Seq_3000
N0.HOG0001237	OG0001036	-	SGZ47536.1	Candida_intermedia@Seq_697
N0.HOG0001238	OG0001037	-	SGZ47537.1	Candida_intermedia@Seq_2573
N0.HOG0001239	OG0001038	-	SGZ47538.1	Candida_intermedia@Seq_281
N0.HOG0001240	OG0001039	-	SGZ47540.1	Candida_intermedia@Seq_1232
N0.HOG0001241	OG0001040	-	SGZ47541.1	Candida_intermedia@Seq_2507
N0.HOG0001242	OG0001041	-	SGZ47543.1	Candida_intermedia@Seq_3984
N0.HOG0001243	OG0001042	-	SGZ47544.1	Candida_intermedia@Seq_3738
N0.HOG0001244	OG0001043	-	SGZ47545.1	Candida_intermedia@Seq_549
N0.HOG0001245	OG0001044	-	SGZ47546.1	Candida_intermedia@Seq_3833
N0.HOG0001246	OG0001045	-	SGZ47547.1	Candida_intermedia@Seq_5148
N0.HOG0001247	OG0001046	-	SGZ47549.1	Candida_intermedia@Seq_3769
N0.HOG0001248	OG0001047	-	SGZ47551.1	Candida_intermedia@Seq_2075
N0.HOG0001249	OG0001048	-	SGZ47553.1	Candida_intermedia@Seq_5140
N0.HOG0001250	OG0001049	-	SGZ47554.1	Candida_intermedia@Seq_4525
N0.HOG0001251	OG0001050	-	SGZ47556.1	Candida_intermedia@Seq_4160
N0.HOG0001252	OG0001051	-	SGZ47559.1	Candida_intermedia@Seq_797
N0.HOG0001253	OG0001052	-	SGZ47561.1	Candida_intermedia@Seq_3759
N0.HOG0001254	OG0001053	-	SGZ47562.1	Candida_intermedia@Seq_5286
N0.HOG0001255	OG0001054	-	SGZ47564.1	Candida_intermedia@Seq_3265
N0.HOG0001256	OG0001055	-	SGZ47567.1	Candida_intermedia@Seq_4217
N0.HOG0001257	OG0001056	-	SGZ47568.1, SGZ50739.1	
N0.HOG0001258	OG0001057	-	SGZ47569.1	Candida_intermedia@Seq_3457
N0.HOG0001259	OG0001058	-	SGZ47572.1	Candida_intermedia@Seq_4157
N0.HOG0001260	OG0001059	-	SGZ47573.1	Candida_intermedia@Seq_2319
N0.HOG0001261	OG0001060	-	SGZ47574.1	Candida_intermedia@Seq_3803
N0.HOG0001262	OG0001061	-	SGZ47578.1	Candida_intermedia@Seq_253
N0.HOG0001263	OG0001062	-	SGZ47581.1	Candida_intermedia@Seq_3335
N0.HOG0001264	OG0001063	-	SGZ47583.1	Candida_intermedia@Seq_785
N0.HOG0001265	OG0001064	-	SGZ47585.1	Candida_intermedia@Seq_2779
N0.HOG0001266	OG0001065	-	SGZ47587.1	Candida_intermedia@Seq_3751
N0.HOG0001267	OG0001066	-	SGZ47588.1	Candida_intermedia@Seq_3054
N0.HOG0001268	OG0001067	-	SGZ47590.1	Candida_intermedia@Seq_3217
N0.HOG0001269	OG0001068	-	SGZ47591.1	Candida_intermedia@Seq_4876
N0.HOG0001270	OG0001069	-	SGZ47593.1	Candida_intermedia@Seq_3516
N0.HOG0001271	OG0001070	-	SGZ47596.1	Candida_intermedia@Seq_1510
N0.HOG0001272	OG0001071	-	SGZ47598.1	Candida_intermedia@Seq_5517
N0.HOG0001273	OG0001072	-	SGZ47599.1	Candida_intermedia@Seq_1887
N0.HOG0001274	OG0001073	-	SGZ47601.1	Candida_intermedia@Seq_4930
N0.HOG0001275	OG0001074	-	SGZ47603.1	Candida_intermedia@Seq_2315
N0.HOG0001276	OG0001075	-	SGZ47604.1	Candida_intermedia@Seq_4369
N0.HOG0001277	OG0001076	-	SGZ47606.1	Candida_intermedia@Seq_2636
N0.HOG0001278	OG0001077	-	SGZ47608.1	Candida_intermedia@Seq_2054
N0.HOG0001279	OG0001078	-	SGZ47612.1	Candida_intermedia@Seq_3330
N0.HOG0001280	OG0001079	-	SGZ47614.1	Candida_intermedia@Seq_186
N0.HOG0001281	OG0001080	-	SGZ47615.1	Candida_intermedia@Seq_3254
N0.HOG0001282	OG0001081	-	SGZ47616.1	Candida_intermedia@Seq_3007
N0.HOG0001283	OG0001082	-	SGZ47618.1	Candida_intermedia@Seq_1716
N0.HOG0001284	OG0001083	-	SGZ47619.1	Candida_intermedia@Seq_695
N0.HOG0001285	OG0001084	-	SGZ47621.1	Candida_intermedia@Seq_5228
N0.HOG0001286	OG0001085	-	SGZ47622.1	Candida_intermedia@Seq_4010
N0.HOG0001287	OG0001086	-	SGZ47623.1	Candida_intermedia@Seq_955
N0.HOG0001288	OG0001087	-	SGZ47624.1	Candida_intermedia@Seq_750
N0.HOG0001289	OG0001088	-	SGZ47625.1	Candida_intermedia@Seq_881
N0.HOG0001290	OG0001089	-	SGZ47628.1	Candida_intermedia@Seq_3046
N0.HOG0001291	OG0001090	-	SGZ47630.1	Candida_intermedia@Seq_1305
N0.HOG0001292	OG0001091	-	SGZ47631.1	Candida_intermedia@Seq_4060
N0.HOG0001293	OG0001092	-	SGZ47633.1	Candida_intermedia@Seq_1882
N0.HOG0001294	OG0001093	-	SGZ47634.1	Candida_intermedia@Seq_2901
N0.HOG0001295	OG0001094	-	SGZ47636.1	Candida_intermedia@Seq_3126
N0.HOG0001296	OG0001095	-	SGZ47638.1	Candida_intermedia@Seq_4515
N0.HOG0001297	OG0001096	-	SGZ47640.1	Candida_intermedia@Seq_1500
N0.HOG0001298	OG0001097	-	SGZ47641.1	Candida_intermedia@Seq_1867
N0.HOG0001299	OG0001098	-	SGZ47643.1	Candida_intermedia@Seq_1154
N0.HOG0001300	OG0001099	-	SGZ47647.1	Candida_intermedia@Seq_2018
N0.HOG0001301	OG0001100	-	SGZ47648.1	Candida_intermedia@Seq_584
N0.HOG0001302	OG0001101	-	SGZ47650.1	Candida_intermedia@Seq_3531
N0.HOG0001303	OG0001102	-	SGZ47652.1	Candida_intermedia@Seq_3671
N0.HOG0001304	OG0001103	-	SGZ47654.1	Candida_intermedia@Seq_1676
N0.HOG0001305	OG0001104	-	SGZ47656.1	Candida_intermedia@Seq_5039
N0.HOG0001306	OG0001105	-	SGZ47659.1	Candida_intermedia@Seq_1048
N0.HOG0001307	OG0001106	-	SGZ47661.1	Candida_intermedia@Seq_3894
N0.HOG0001308	OG0001107	-	SGZ47662.1	Candida_intermedia@Seq_3476
N0.HOG0001309	OG0001108	-	SGZ47663.1	Candida_intermedia@Seq_4995
N0.HOG0001310	OG0001109	-	SGZ47664.1	Candida_intermedia@Seq_5316
N0.HOG0001311	OG0001110	-	SGZ47666.1	Candida_intermedia@Seq_5362
N0.HOG0001312	OG0001111	-	SGZ47667.1	Candida_intermedia@Seq_2591
N0.HOG0001313	OG0001112	-	SGZ47670.1	Candida_intermedia@Seq_5010
N0.HOG0001314	OG0001113	-	SGZ47671.1	Candida_intermedia@Seq_1114
N0.HOG0001315	OG0001114	-	SGZ47673.1	Candida_intermedia@Seq_3229
N0.HOG0001316	OG0001115	-	SGZ47676.1	Candida_intermedia@Seq_3879
N0.HOG0001317	OG0001116	-	SGZ47679.1	Candida_intermedia@Seq_149
N0.HOG0001318	OG0001117	-	SGZ47680.1	Candida_intermedia@Seq_3208
N0.HOG0001319	OG0001118	-	SGZ47682.1	Candida_intermedia@Seq_3152
N0.HOG0001320	OG0001119	-	SGZ47685.1	Candida_intermedia@Seq_4215
N0.HOG0001321	OG0001120	-	SGZ47687.1	Candida_intermedia@Seq_4801
N0.HOG0001322	OG0001121	-	SGZ47688.1	Candida_intermedia@Seq_2860
N0.HOG0001323	OG0001122	-	SGZ47689.1	Candida_intermedia@Seq_985
N0.HOG0001324	OG0001123	-	SGZ47692.1	Candida_intermedia@Seq_4482
N0.HOG0001325	OG0001124	-	SGZ47696.1	Candida_intermedia@Seq_2664
N0.HOG0001326	OG0001125	-	SGZ47697.1	Candida_intermedia@Seq_1433
N0.HOG0001327	OG0001126	-	SGZ47698.1	Candida_intermedia@Seq_4811
N0.HOG0001328	OG0001127	-	SGZ47701.1	Candida_intermedia@Seq_5303
N0.HOG0001329	OG0001128	-	SGZ47703.1	Candida_intermedia@Seq_1712
N0.HOG0001330	OG0001129	-	SGZ47704.1	Candida_intermedia@Seq_3489
N0.HOG0001331	OG0001130	-	SGZ47705.1	Candida_intermedia@Seq_1536
N0.HOG0001332	OG0001131	-	SGZ47708.1	Candida_intermedia@Seq_3255
N0.HOG0001333	OG0001132	-	SGZ47710.1	Candida_intermedia@Seq_2296
N0.HOG0001334	OG0001133	-	SGZ47711.1	Candida_intermedia@Seq_317
N0.HOG0001335	OG0001134	-	SGZ47719.1	Candida_intermedia@Seq_4660
N0.HOG0001336	OG0001135	-	SGZ47721.1	Candida_intermedia@Seq_4816
N0.HOG0001337	OG0001136	-	SGZ47724.1	Candida_intermedia@Seq_5165
N0.HOG0001338	OG0001137	-	SGZ47725.1	Candida_intermedia@Seq_4725
N0.HOG0001339	OG0001138	-	SGZ47728.1	Candida_intermedia@Seq_794
N0.HOG0001340	OG0001139	-	SGZ47729.1	Candida_intermedia@Seq_1501
N0.HOG0001341	OG0001140	-	SGZ47731.1	Candida_intermedia@Seq_5002
N0.HOG0001342	OG0001141	-	SGZ47732.1	Candida_intermedia@Seq_2785
N0.HOG0001343	OG0001142	-	SGZ47735.1	Candida_intermedia@Seq_3743
N0.HOG0001344	OG0001143	-	SGZ47737.1	Candida_intermedia@Seq_3644
N0.HOG0001345	OG0001144	-	SGZ47738.1	Candida_intermedia@Seq_3235
N0.HOG0001346	OG0001145	-	SGZ47739.1	Candida_intermedia@Seq_3314
N0.HOG0001347	OG0001146	-	SGZ47742.1	Candida_intermedia@Seq_540
N0.HOG0001348	OG0001147	-	SGZ47743.1	Candida_intermedia@Seq_3176
N0.HOG0001349	OG0001148	-	SGZ47744.1	Candida_intermedia@Seq_3654
N0.HOG0001350	OG0001149	-	SGZ47746.1	Candida_intermedia@Seq_3786
N0.HOG0001351	OG0001150	-	SGZ47747.1	Candida_intermedia@Seq_4843
N0.HOG0001352	OG0001151	-	SGZ47750.1	Candida_intermedia@Seq_4803
N0.HOG0001353	OG0001152	-	SGZ47752.1	Candida_intermedia@Seq_1229
N0.HOG0001354	OG0001153	-	SGZ47755.1	Candida_intermedia@Seq_5186
N0.HOG0001355	OG0001154	-	SGZ47757.1	Candida_intermedia@Seq_2447
N0.HOG0001356	OG0001155	-	SGZ47758.1	Candida_intermedia@Seq_3399
N0.HOG0001357	OG0001156	-	SGZ47759.1	Candida_intermedia@Seq_3812
N0.HOG0001358	OG0001157	-	SGZ47760.1	Candida_intermedia@Seq_4911
N0.HOG0001359	OG0001158	-	SGZ47761.1	Candida_intermedia@Seq_854
N0.HOG0001360	OG0001159	-	SGZ47763.1	Candida_intermedia@Seq_2088
N0.HOG0001361	OG0001160	-	SGZ47765.1	Candida_intermedia@Seq_1934
N0.HOG0001362	OG0001161	-	SGZ47766.1	Candida_intermedia@Seq_1803
N0.HOG0001363	OG0001162	-	SGZ47768.1	Candida_intermedia@Seq_5325
N0.HOG0001364	OG0001163	-	SGZ47772.1	Candida_intermedia@Seq_2026
N0.HOG0001365	OG0001164	-	SGZ47773.1	Candida_intermedia@Seq_5456
N0.HOG0001366	OG0001165	-	SGZ47774.1	Candida_intermedia@Seq_4528
N0.HOG0001367	OG0001166	-	SGZ47775.1	Candida_intermedia@Seq_4006
N0.HOG0001368	OG0001167	-	SGZ47776.1	Candida_intermedia@Seq_799
N0.HOG0001369	OG0001168	-	SGZ47777.1	Candida_intermedia@Seq_683
N0.HOG0001370	OG0001169	-	SGZ47778.1	Candida_intermedia@Seq_3157
N0.HOG0001371	OG0001170	-	SGZ47780.1	Candida_intermedia@Seq_5226
N0.HOG0001372	OG0001171	-	SGZ47781.1	Candida_intermedia@Seq_470
N0.HOG0001373	OG0001172	-	SGZ47782.1	Candida_intermedia@Seq_170
N0.HOG0001374	OG0001173	-	SGZ47783.1	Candida_intermedia@Seq_673
N0.HOG0001375	OG0001174	-	SGZ47785.1	Candida_intermedia@Seq_3854
N0.HOG0001376	OG0001175	-	SGZ47786.1	Candida_intermedia@Seq_2899
N0.HOG0001377	OG0001176	-	SGZ47788.1	Candida_intermedia@Seq_3801
N0.HOG0001378	OG0001177	-	SGZ47789.1	Candida_intermedia@Seq_2668
N0.HOG0001379	OG0001178	-	SGZ47790.1	Candida_intermedia@Seq_1673
N0.HOG0001380	OG0001179	-	SGZ47792.1	Candida_intermedia@Seq_1801
N0.HOG0001381	OG0001180	-	SGZ47793.1	Candida_intermedia@Seq_3194
N0.HOG0001382	OG0001181	-	SGZ47794.1	Candida_intermedia@Seq_5448
N0.HOG0001383	OG0001182	-	SGZ47795.1	Candida_intermedia@Seq_2803
N0.HOG0001384	OG0001183	-	SGZ47797.1	Candida_intermedia@Seq_2179
N0.HOG0001385	OG0001184	-	SGZ47798.1	Candida_intermedia@Seq_2885
N0.HOG0001386	OG0001185	-	SGZ47801.1	Candida_intermedia@Seq_1357
N0.HOG0001387	OG0001186	-	SGZ47802.1	Candida_intermedia@Seq_2195
N0.HOG0001388	OG0001187	-	SGZ47804.1	Candida_intermedia@Seq_4471
N0.HOG0001389	OG0001188	-	SGZ47807.1	Candida_intermedia@Seq_576
N0.HOG0001390	OG0001189	-	SGZ47808.1	Candida_intermedia@Seq_541
N0.HOG0001391	OG0001190	-	SGZ47810.1	Candida_intermedia@Seq_1369
N0.HOG0001392	OG0001191	-	SGZ47811.1	Candida_intermedia@Seq_352
N0.HOG0001393	OG0001192	-	SGZ47813.1	Candida_intermedia@Seq_1697
N0.HOG0001394	OG0001193	-	SGZ47815.1	Candida_intermedia@Seq_586
N0.HOG0001395	OG0001194	-	SGZ47818.1	Candida_intermedia@Seq_1182
N0.HOG0001396	OG0001195	-	SGZ47819.1	Candida_intermedia@Seq_987
N0.HOG0001397	OG0001196	-	SGZ47821.1	Candida_intermedia@Seq_2579
N0.HOG0001398	OG0001197	-	SGZ47822.1	Candida_intermedia@Seq_2016
N0.HOG0001399	OG0001198	-	SGZ47823.1	Candida_intermedia@Seq_5475
N0.HOG0001400	OG0001199	-	SGZ47824.1	Candida_intermedia@Seq_3726
N0.HOG0001401	OG0001200	-	SGZ47825.1	Candida_intermedia@Seq_3064
N0.HOG0001402	OG0001201	-	SGZ47826.1	Candida_intermedia@Seq_4288
N0.HOG0001403	OG0001202	-	SGZ47828.1	Candida_intermedia@Seq_1314
N0.HOG0001404	OG0001203	-	SGZ47830.1	Candida_intermedia@Seq_311
N0.HOG0001405	OG0001204	-	SGZ47831.1	Candida_intermedia@Seq_1706
N0.HOG0001406	OG0001205	-	SGZ47832.1	Candida_intermedia@Seq_2958
N0.HOG0001407	OG0001206	-	SGZ47833.1	Candida_intermedia@Seq_1970
N0.HOG0001408	OG0001207	-	SGZ47834.1	Candida_intermedia@Seq_4096
N0.HOG0001409	OG0001208	-	SGZ47836.1	Candida_intermedia@Seq_1192
N0.HOG0001410	OG0001209	-	SGZ47838.1	Candida_intermedia@Seq_2761
N0.HOG0001411	OG0001210	-	SGZ47840.1	Candida_intermedia@Seq_4475
N0.HOG0001412	OG0001211	-	SGZ47841.1	Candida_intermedia@Seq_5118
N0.HOG0001413	OG0001212	-	SGZ47845.1	Candida_intermedia@Seq_2962
N0.HOG0001414	OG0001213	-	SGZ47846.1	Candida_intermedia@Seq_5064
N0.HOG0001415	OG0001214	-	SGZ47847.1	Candida_intermedia@Seq_85
N0.HOG0001416	OG0001215	-	SGZ47848.1	Candida_intermedia@Seq_1344
N0.HOG0001417	OG0001216	-	SGZ47850.1	Candida_intermedia@Seq_473
N0.HOG0001418	OG0001217	-	SGZ47854.1	Candida_intermedia@Seq_5479
N0.HOG0001419	OG0001218	-	SGZ47856.1	Candida_intermedia@Seq_19
N0.HOG0001420	OG0001219	-	SGZ47858.1	Candida_intermedia@Seq_3829
N0.HOG0001421	OG0001220	-	SGZ47860.1	Candida_intermedia@Seq_4506
N0.HOG0001422	OG0001221	-	SGZ47865.1	Candida_intermedia@Seq_120
N0.HOG0001423	OG0001222	-	SGZ47866.1	Candida_intermedia@Seq_1025
N0.HOG0001424	OG0001223	-	SGZ47868.1	Candida_intermedia@Seq_1045
N0.HOG0001425	OG0001224	-	SGZ47869.1	Candida_intermedia@Seq_3509
N0.HOG0001426	OG0001225	-	SGZ47871.1	Candida_intermedia@Seq_1005
N0.HOG0001427	OG0001226	-	SGZ47872.1	Candida_intermedia@Seq_5149
N0.HOG0001428	OG0001227	-	SGZ47874.1	Candida_intermedia@Seq_2186
N0.HOG0001429	OG0001228	-	SGZ47877.1	Candida_intermedia@Seq_539
N0.HOG0001430	OG0001229	-	SGZ47878.1	Candida_intermedia@Seq_2090
N0.HOG0001431	OG0001230	-	SGZ47879.1	Candida_intermedia@Seq_2158
N0.HOG0001432	OG0001231	-	SGZ47880.1	Candida_intermedia@Seq_2472
N0.HOG0001433	OG0001232	-	SGZ47882.1	Candida_intermedia@Seq_3455
N0.HOG0001434	OG0001233	-	SGZ47885.1	Candida_intermedia@Seq_1295
N0.HOG0001435	OG0001234	-	SGZ47887.1	Candida_intermedia@Seq_1505
N0.HOG0001436	OG0001235	-	SGZ47890.1	Candida_intermedia@Seq_114
N0.HOG0001437	OG0001236	-	SGZ47891.1	Candida_intermedia@Seq_2239
N0.HOG0001438	OG0001237	-	SGZ47892.1	Candida_intermedia@Seq_3549
N0.HOG0001439	OG0001238	-	SGZ47894.1	Candida_intermedia@Seq_33
N0.HOG0001440	OG0001239	-	SGZ47895.1	Candida_intermedia@Seq_1023
N0.HOG0001441	OG0001240	-	SGZ47896.1	Candida_intermedia@Seq_1062
N0.HOG0001442	OG0001241	-	SGZ47898.1	Candida_intermedia@Seq_4154
N0.HOG0001443	OG0001242	-	SGZ47901.1	Candida_intermedia@Seq_1001
N0.HOG0001444	OG0001243	-	SGZ47902.1	Candida_intermedia@Seq_4620
N0.HOG0001445	OG0001244	-	SGZ47904.1	Candida_intermedia@Seq_3824
N0.HOG0001446	OG0001245	-	SGZ47905.1	Candida_intermedia@Seq_1873
N0.HOG0001447	OG0001246	-	SGZ47907.1	Candida_intermedia@Seq_2442
N0.HOG0001448	OG0001247	-	SGZ47908.1	Candida_intermedia@Seq_2844
N0.HOG0001449	OG0001248	-	SGZ47911.1	Candida_intermedia@Seq_9
N0.HOG0001450	OG0001249	-	SGZ47912.1	Candida_intermedia@Seq_3133
N0.HOG0001451	OG0001250	-	SGZ47914.1	Candida_intermedia@Seq_1420
N0.HOG0001452	OG0001251	-	SGZ47916.1	Candida_intermedia@Seq_2826
N0.HOG0001453	OG0001252	-	SGZ47918.1	Candida_intermedia@Seq_4095
N0.HOG0001454	OG0001253	-	SGZ47919.1	Candida_intermedia@Seq_863
N0.HOG0001455	OG0001254	-	SGZ47922.1	Candida_intermedia@Seq_343
N0.HOG0001456	OG0001255	-	SGZ47924.1	Candida_intermedia@Seq_4208
N0.HOG0001457	OG0001256	-	SGZ47925.1	Candida_intermedia@Seq_4810
N0.HOG0001458	OG0001257	-	SGZ47926.1	Candida_intermedia@Seq_5386
N0.HOG0001459	OG0001258	-	SGZ47929.1	Candida_intermedia@Seq_3580
N0.HOG0001460	OG0001259	-	SGZ47930.1	Candida_intermedia@Seq_4079
N0.HOG0001461	OG0001260	-	SGZ47932.1	Candida_intermedia@Seq_4894
N0.HOG0001462	OG0001261	-	SGZ47933.1	Candida_intermedia@Seq_456
N0.HOG0001463	OG0001262	-	SGZ47935.1	Candida_intermedia@Seq_3569
N0.HOG0001464	OG0001263	-	SGZ47937.1	Candida_intermedia@Seq_145
N0.HOG0001465	OG0001264	-	SGZ47938.1	Candida_intermedia@Seq_3439
N0.HOG0001466	OG0001265	-	SGZ47939.1	Candida_intermedia@Seq_2822
N0.HOG0001467	OG0001266	-	SGZ47943.1	Candida_intermedia@Seq_2980
N0.HOG0001468	OG0001267	-	SGZ47946.1	Candida_intermedia@Seq_2096
N0.HOG0001469	OG0001268	-	SGZ47947.1	Candida_intermedia@Seq_3715
N0.HOG0001470	OG0001269	-	SGZ47950.1	Candida_intermedia@Seq_3021
N0.HOG0001471	OG0001270	-	SGZ47952.1	Candida_intermedia@Seq_4724
N0.HOG0001472	OG0001271	-	SGZ47956.1	Candida_intermedia@Seq_3543
N0.HOG0001473	OG0001272	-	SGZ47958.1	Candida_intermedia@Seq_3132
N0.HOG0001474	OG0001273	-	SGZ47961.1	Candida_intermedia@Seq_4858
N0.HOG0001475	OG0001274	-	SGZ47963.1	Candida_intermedia@Seq_3369
N0.HOG0001476	OG0001275	-	SGZ47964.1	Candida_intermedia@Seq_2776
N0.HOG0001477	OG0001276	-	SGZ47966.1	Candida_intermedia@Seq_4556
N0.HOG0001478	OG0001277	-	SGZ47967.1	Candida_intermedia@Seq_762
N0.HOG0001479	OG0001278	-	SGZ47971.1	Candida_intermedia@Seq_3321
N0.HOG0001480	OG0001279	-	SGZ47972.1	Candida_intermedia@Seq_749
N0.HOG0001481	OG0001280	-	SGZ47973.1	Candida_intermedia@Seq_4768
N0.HOG0001482	OG0001281	-	SGZ47975.1	Candida_intermedia@Seq_2125
N0.HOG0001483	OG0001282	-	SGZ47976.1	Candida_intermedia@Seq_218
N0.HOG0001484	OG0001283	-	SGZ47979.1	Candida_intermedia@Seq_4666
N0.HOG0001485	OG0001284	-	SGZ47982.1	Candida_intermedia@Seq_3044
N0.HOG0001486	OG0001285	-	SGZ47986.1	Candida_intermedia@Seq_913
N0.HOG0001487	OG0001286	-	SGZ47987.1	Candida_intermedia@Seq_262
N0.HOG0001488	OG0001287	-	SGZ47989.1	Candida_intermedia@Seq_3722
N0.HOG0001489	OG0001288	-	SGZ47991.1	Candida_intermedia@Seq_3623
N0.HOG0001490	OG0001289	-	SGZ47994.1	Candida_intermedia@Seq_3100
N0.HOG0001491	OG0001290	-	SGZ47995.1	Candida_intermedia@Seq_2853
N0.HOG0001492	OG0001291	-	SGZ47996.1	Candida_intermedia@Seq_2738
N0.HOG0001493	OG0001292	-	SGZ47998.1	Candida_intermedia@Seq_4185
N0.HOG0001494	OG0001293	-	SGZ47999.1	Candida_intermedia@Seq_4452
N0.HOG0001495	OG0001294	-	SGZ48002.1	Candida_intermedia@Seq_3798
N0.HOG0001496	OG0001295	-	SGZ48003.1	Candida_intermedia@Seq_4460
N0.HOG0001497	OG0001296	-	SGZ48005.1	Candida_intermedia@Seq_3796
N0.HOG0001498	OG0001297	-	SGZ48006.1	Candida_intermedia@Seq_4347
N0.HOG0001499	OG0001298	-	SGZ48009.1	Candida_intermedia@Seq_3714
N0.HOG0001500	OG0001299	-	SGZ48015.1	Candida_intermedia@Seq_2071
N0.HOG0001501	OG0001300	-	SGZ48017.1	Candida_intermedia@Seq_1359
N0.HOG0001502	OG0001301	-	SGZ48018.1	Candida_intermedia@Seq_5408
N0.HOG0001503	OG0001302	-	SGZ48020.1	Candida_intermedia@Seq_3982
N0.HOG0001504	OG0001303	-	SGZ48022.1	Candida_intermedia@Seq_759
N0.HOG0001505	OG0001304	-	SGZ48023.1	Candida_intermedia@Seq_4355
