genes	shortnames	orthologues	proteins
Seq_4976	Seq_4976	CIC11T00000003493	YMR267W
Seq_372	Seq_372	CIC11T00000005367	YMR271C
Seq_1658	Seq_1658	CIC11T00000001442	YMR272C
Seq_90	Seq_90	CIC11T00000004880	YMR278W
Seq_5334	Seq_5334	CIC11T00000001587	YMR281W
Seq_1418	Seq_1418	CIC11T00000003139	YMR289W
Seq_4377	Seq_4377	CIC11T00000000819	YMR293C
Seq_725	Seq_725	CIC11T00000000357	YMR296C
Seq_2032	Seq_2032	CIC11T00000001336	YMR300C
Seq_1975	Seq_1975	CIC11T00000000165	YMR313C
Seq_1655	Seq_1655	CIC11T00000000434	YNL003C
Seq_604	Seq_604	CIC11T00000000681	YNL029C
Seq_1869	Seq_1869	CIC11T00000001972	YNL037C
Seq_1085	Seq_1085	CIC11T00000003729	YNL045W
Seq_3440	Seq_3440	CIC11T00000000917	YNL073W
Seq_761	Seq_761	CIC11T00000002470	YNL101W
Seq_1942	Seq_1942	CIC11T00000001399	YNL104C
Seq_3335	Seq_3335	CIC11T00000004125	YNL106C
Seq_1577	Seq_1577	CIC11T00000000521	YNL117W
Seq_474	Seq_474	CIC11T00000003616	YNL129W
Seq_936	Seq_936	CIC11T00000004119	YNL130C
Seq_950	Seq_950	CIC11T00000001095	YNL141W
Seq_1594	Seq_1594	CIC11T00000005208	YNL142W
Seq_2132	Seq_2132	CIC11T00000004406	YNL169C
Seq_1118	Seq_1118	CIC11T00000003121	YNL192W
Seq_5178	Seq_5178	CIC11T00000001162, CIC11T00000004691, CIC11T00000004469	YNL202W
Seq_641	Seq_641	CIC11T00000002330	YNL220W
Seq_5467	Seq_5467	CIC11T00000003612	YNL241C
Seq_4814	Seq_4814	CIC11T00000002213	YNL247W
Seq_8	Seq_8	CIC11T00000001196	YNL256W
Seq_5533	Seq_5533	CIC11T00000001026	YNL267W
Seq_2822	Seq_2822	CIC11T00000005573	YNL268W
Seq_5525	Seq_5525	CIC11T00000000694	YNL277W
Seq_3243	Seq_3243	CIC11T00000005689	YNL280C
Seq_4077	Seq_4077	CIC11T00000000218	YNL292W
Seq_1656	Seq_1656	CIC11T00000004896	YNL316C
Seq_748	Seq_748	CIC11T00000004106	YNL325C
Seq_3526	Seq_3526	CIC11T00000003369	YNR001C
Seq_2161	Seq_2161	CIC11T00000001897	YNR008W
Seq_3438	Seq_3438	CIC11T00000002984	YNR012W
Seq_219	Seq_219	CIC11T00000002678	YNR016C
Seq_4218	Seq_4218	CIC11T00000001733	YNR019W
Seq_78	Seq_78	CIC11T00000003861	YNR033W
Seq_1695	Seq_1695	CIC11T00000003233	YNR041C
Seq_2640	Seq_2640	CIC11T00000000004	YNR043W
Seq_3916	Seq_3916	CIC11T00000004721	YNR050C
Seq_4506	Seq_4506	CIC11T00000005570	YNR057C
Seq_3829	Seq_3829	CIC11T00000004424	YNR058W
Seq_163	Seq_163	CIC11T00000004712	YNR067C
Seq_854	Seq_854	CIC11T00000001515	YOL033W
Seq_2341	Seq_2341	CIC11T00000001523	YOL049W
Seq_944	Seq_944	CIC11T00000000988	YOL052C
Seq_269	Seq_269	CIC11T00000004113	YOL058W
Seq_80	Seq_80	CIC11T00000002309	YOL059W
Seq_957	Seq_957	CIC11T00000005911	YOL061W
Seq_3166	Seq_3166	CIC11T00000000691	YOL064C
Seq_2159	Seq_2159	CIC11T00000000646	YOL065C
Seq_315	Seq_315	CIC11T00000005856	YOL066C
Seq_4208	Seq_4208	CIC11T00000001260	YOL096C
Seq_1683	Seq_1683	CIC11T00000000644	YOL097C
Seq_4611	Seq_4611	CIC11T00000004761	YOL103W
Seq_4229	Seq_4229	CIC11T00000002951	YOL136C
Seq_1772	Seq_1772	CIC11T00000000144	YOL140W
Seq_3985	Seq_3985	CIC11T00000001122	YOL143C
Seq_3982	Seq_3982	CIC11T00000000123	YGL039W
Seq_4130	Seq_4130	CIC11T00000003808	YOR025W
Seq_3851	Seq_3851	CIC11T00000001800	YOR040W
Seq_4764	Seq_4764	CIC11T00000005871	YOR054C
Seq_5290	Seq_5290	CIC11T00000003826	YOR074C
Seq_2675	Seq_2675	CIC11T00000001876	YOR095C
Seq_1828	Seq_1828	CIC11T00000002883	YOR099W
Seq_4174	Seq_4174	CIC11T00000005660	YOR100C
Seq_1351	Seq_1351	CIC11T00000005671	YOR120W
Seq_5200	Seq_5200	CIC11T00000000727	YOR125C
Seq_687	Seq_687	CIC11T00000004269	YOR126C
Seq_612	Seq_612	CIC11T00000005737	YOR128C
Seq_2802	Seq_2802	CIC11T00000002744	YOR130C
Seq_4432	Seq_4432	CIC11T00000005469	YOR136W
Seq_2459	Seq_2459	CIC11T00000003822	YOR142W
Seq_4613	Seq_4613	CIC11T00000000505	YOR143C
Seq_908	Seq_908	CIC11T00000001210	YOR155C
Seq_4056	Seq_4056	CIC11T00000002365	YOR163W
Seq_4388	Seq_4388	CIC11T00000000940	YOR168W
Seq_3702	Seq_3702	CIC11T00000004391	YOR176W
Seq_2669	Seq_2669	CIC11T00000002650	YOR184W
Seq_2102	Seq_2102	CIC11T00000000661	YOR192C
Seq_4334	Seq_4334	CIC11T00000000367	YOR202W
Seq_2091	Seq_2091	CIC11T00000000465	YOR209C
Seq_1707	Seq_1707	CIC11T00000004924	YOR236W
Seq_3191	Seq_3191	CIC11T00000001945	YOR241W
Seq_1107	Seq_1107	CIC11T00000002442	YOR245C
Seq_3882	Seq_3882	CIC11T00000004077	YOR273C
Seq_368	Seq_368	CIC11T00000003407	YOR278W
Seq_410	Seq_410	CIC11T00000001289	YOR303W
Seq_4617	Seq_4617	CIC11T00000003292	YOR311C
Seq_1101	Seq_1101	CIC11T00000000571	YOR317W
Seq_3045	Seq_3045	CIC11T00000003419	YOR323C
Seq_767	Seq_767	CIC11T00000001420	YOR332W
Seq_5101	Seq_5101	CIC11T00000005342	YOR335C
Seq_5168	Seq_5168	CIC11T00000000846	YOR347C
Seq_4372	Seq_4372	CIC11T00000005035	YOR348C
Seq_2832	Seq_2832	CIC11T00000000204	YOR360C
Seq_1471	Seq_1471	CIC11T00000005595	YOR388C
Seq_2083	Seq_2083	CIC11T00000001313	YPL015C
Seq_489	Seq_489	CIC11T00000002952	YPL023C
Seq_639	Seq_639	CIC11T00000003243	YPL028W
Seq_2810	Seq_2810	CIC11T00000001580	YPL040C
Seq_2707	Seq_2707	CIC11T00000004822	YPL059W
Seq_336	Seq_336	CIC11T00000002381	YPL069C
Seq_3948	Seq_3948	CIC11T00000002494	YPL087W
Seq_2238	Seq_2238	CIC11T00000004444	YPL091W
Seq_1209	Seq_1209	CIC11T00000005667	YPL092W
Seq_424	Seq_424	CIC11T00000000181	YPL097W
Seq_3619	Seq_3619	CIC11T00000004887	YPL104W
Seq_1080	Seq_1080	CIC11T00000004115	YPL110C
Seq_4807	Seq_4807	CIC11T00000004770	YPL111W
Seq_4856	Seq_4856	CIC11T00000002012	YPL134C
Seq_3237	Seq_3237	CIC11T00000005302	YPL147W
Seq_3162	Seq_3162	CIC11T00000000007	YPL160W
Seq_4038	Seq_4038	CIC11T00000000746	YPL172C
Seq_5180	Seq_5180	CIC11T00000004280	YPL188W
Seq_281	Seq_281	CIC11T00000005637	YPL189W
Seq_2714	Seq_2714	CIC11T00000003925	YPL206C
Seq_478	Seq_478	CIC11T00000004363	YPL212C
Seq_1380	Seq_1380	CIC11T00000002783	YPL214C
Seq_3186	Seq_3186	CIC11T00000000728	YPL234C
Seq_1064	Seq_1064	CIC11T00000002440	YPL244C
Seq_3915	Seq_3915	CIC11T00000005656	YPL252C
Seq_4963	Seq_4963	CIC11T00000000656	YPL262W
Seq_1368	Seq_1368	CIC11T00000004441	YPL265W
Seq_4445	Seq_4445	CIC11T00000004630	YPL268W
Seq_4737	Seq_4737	CIC11T00000004143	YPL273W
Seq_4666	Seq_4666	CIC11T00000001969	YPR021C
Seq_5306	Seq_5306	CIC11T00000002223	YPR026W
Seq_723	Seq_723	CIC11T00000002803	YPR033C
Seq_2901	Seq_2901	CIC11T00000003804	YPR035W
Seq_2093	Seq_2093	CIC11T00000000896	YPR036W
Seq_3346	Seq_3346	CIC11T00000004662	YPR048W
Seq_350	Seq_350	CIC11T00000003214	YPR060C
Seq_4998	Seq_4998	CIC11T00000004356	YPR062W
Seq_2877	Seq_2877	CIC11T00000003476	YPR069C
Seq_5358	Seq_5358	CIC11T00000003174	YPR113W
Seq_4183	Seq_4183	CIC11T00000003807	YPR121W
Seq_1998	Seq_1998	CIC11T00000004528	YPR128C
Seq_5514	Seq_5514	CIC11T00000002118	YPR140W
Seq_5174	Seq_5174	CIC11T00000002087	YPR145W
Seq_3506	Seq_3506	CIC11T00000003480	YPR156C
Seq_952	Seq_952	CIC11T00000004834	YPR160W
Seq_1622	Seq_1622	CIC11T00000004390	YPR167C
Seq_676	Seq_676	CIC11T00000001645	YPR183W
Seq_188	Seq_188	CIC11T00000002355	YPR184W
Seq_2010	Seq_2010	CIC11T00000003507	YPR192W
Seq_1364	Seq_1364	CIC11T00000004554	YMR058W
Seq_3875	Seq_3875	CIC11T00000000059	YDR538W
Seq_845	Seq_845	CIC11T00000003556	YDR539W
Seq_1024	Seq_1024	CIC11T00000000485	YJR024C
Seq_3026	Seq_3026	CIC11T00000001156	YPR118W
Seq_4792	Seq_4792	CIC11T00000002668	YDL040C
Seq_1536	Seq_1536	CIC11T00000003390	YGR147C
Seq_642	Seq_642	CIC11T00000004104	YHR013C
Seq_2475	Seq_2475	CIC11T00000002868	YNL332W
Seq_3912	Seq_3912	CIC11T00000005612	YDR071C
Seq_4986	Seq_4986	CIC11T00000003357	YDL166C
Seq_1701	Seq_1701	CIC11T00000001601	YDR020C
Seq_3389	Seq_3389	CIC11T00000002605	YJR069C
Seq_2985	Seq_2985	CIC11T00000004003	YML082W
Seq_5421	Seq_5421	CIC11T00000001395	YLR345W
Seq_1160	Seq_1160	CIC11T00000003277	YLR446W
Seq_5250	Seq_5250	CIC11T00000005509	YMR110C
Seq_4841	Seq_4841	CIC11T00000003331	YNL229C
Seq_4317	Seq_4317	CIC11T00000001027	YOL092W
Seq_118	Seq_118	CIC11T00000003247	YPL281C
Seq_4006	Seq_4006	CIC11T00000003471	YBR241C
Seq_1519	Seq_1519	CIC11T00000001973	YCL047C
Seq_3351	Seq_3351	CIC11T00000003676	YER141W
Seq_3689	Seq_3689	CIC11T00000004277	YMR095C
Seq_2844	Seq_2844	CIC11T00000002356	YCR068W
Seq_2902	Seq_2902	CIC11T00000005394	YAL035W
Seq_245	Seq_245	CIC11T00000000355	YLL001W
Seq_4803	Seq_4803	CIC11T00000002829	YNL036W
Seq_3270	Seq_3270	CIC11T00000001133	YDR105C
Seq_1277	Seq_1277	CIC11T00000003102	YDR456W
Seq_2192	Seq_2192	CIC11T00000003295	YBR001C
Seq_260	Seq_260	CIC11T00000001626	YDL024C
Seq_3858	Seq_3858	CIC11T00000000780	YDR242W
Seq_194	Seq_194	CIC11T00000005084	YJL200C
Seq_1662	Seq_1662	CIC11T00000002398	YOR283W
Seq_1545	Seq_1545	CIC11T00000004412	YAL039C
Seq_4826	Seq_4826	CIC11T00000002301	YKL087C
Seq_2497	Seq_2497	CIC11T00000001513	YAL061W
Seq_3038	Seq_3038	CIC11T00000002863	YBL080C
Seq_1936	Seq_1936	CIC11T00000003641	YBL091C
Seq_4393	Seq_4393	CIC11T00000003971	YLR244C
Seq_2437	Seq_2437	CIC11T00000000609	YBR022W
Seq_850	Seq_850	CIC11T00000001415	YMR087W
Seq_1808	Seq_1808	CIC11T00000005177	YBR046C
Seq_4690	Seq_4690	CIC11T00000005553	YBR070C
Seq_2762	Seq_2762	CIC11T00000000283	YGL047W
Seq_2376	Seq_2376	CIC11T00000003213	YBR111C
Seq_37	Seq_37	CIC11T00000001229	YDR352W
Seq_3514	Seq_3514	CIC11T00000004061	YBR229C
Seq_5444	Seq_5444	CIC11T00000005691	YBR235W
Seq_3291	Seq_3291	CIC11T00000005501	YBR243C
Seq_3560	Seq_3560	CIC11T00000003894	YBR295W
Seq_3999	Seq_3999	CIC11T00000002420	YCL017C
Seq_660	Seq_660	CIC11T00000001461	YCR011C
Seq_4382	Seq_4382	CIC11T00000001314	YPL088W
Seq_2560	Seq_2560	CIC11T00000004575	YEL031W
Seq_617	Seq_617	CIC11T00000001632	YER010C
Seq_2230	Seq_2230	CIC11T00000004800	YER087W
Seq_4136	Seq_4136	CIC11T00000005705	YER163C
Seq_658	Seq_658	CIC11T00000003968	YHL018W
Seq_2414	Seq_2414	CIC11T00000000814	YHR008C
Seq_3842	Seq_3842	CIC11T00000005758	YHR109W
Seq_2980	Seq_2980	CIC11T00000003271	YHR119W
Seq_977	Seq_977	CIC11T00000001660	YJL168C
Seq_2136	Seq_2136	CIC11T00000002105	YMR243C
Seq_1719	Seq_1719	CIC11T00000001061	YIL043C
Seq_4582	Seq_4582	CIC11T00000002099	YML125C
Seq_3089	Seq_3089	CIC11T00000001368	YKL150W
Seq_3675	Seq_3675	CIC11T00000004332	YIR036C
Seq_1026	Seq_1026	CIC11T00000001785	YIR038C
Seq_4352	Seq_4352	CIC11T00000004345	YKR078W
Seq_1139	Seq_1139	CIC11T00000001667	YKL069W
Seq_2612	Seq_2612	CIC11T00000004725	YKL103C
Seq_327	Seq_327	CIC11T00000005419	YKL215C
Seq_2348	Seq_2348	CIC11T00000004687	YNL335W
Seq_1679	Seq_1679	CIC11T00000000672	YNL333W
Seq_2838	Seq_2838	CIC11T00000004945	YFR044C
Seq_4429	Seq_4429	CIC11T00000003098	YDL120W
Seq_5038	Seq_5038	CIC11T00000000878	YDL236W
Seq_3376	Seq_3376	CIC11T00000002101	YDR036C
Seq_1297	Seq_1297	CIC11T00000005842	YDR040C
Seq_2371	Seq_2371	CIC11T00000000718	YDR051C
Seq_5108	Seq_5108	CIC11T00000002757	YOL075C
Seq_4927	Seq_4927	CIC11T00000003810	YDR248C
Seq_2076	Seq_2076	CIC11T00000002921	YDR410C
Seq_4734	Seq_4734	CIC11T00000004343	YDR516C
Seq_5258	Seq_5258	CIC11T00000001535	YPL280W
Seq_2498	Seq_2498	CIC11T00000003034	YGL006W
Seq_988	Seq_988	CIC11T00000003110	YGL167C
Seq_2482	Seq_2482	CIC11T00000001370	YGL017W
Seq_5096	Seq_5096	CIC11T00000003541	YGL022W
Seq_3251	Seq_3251	CIC11T00000000941	YGL027C
Seq_1966	Seq_1966	CIC11T00000003776	YGL038C
Seq_77	Seq_77	CIC11T00000001356	YGL065C
Seq_4225	Seq_4225	CIC11T00000003298	YGL156W
Seq_5529	Seq_5529	CIC11T00000005258	YGL169W
Seq_1331	Seq_1331	CIC11T00000002220	YGL196W
Seq_3177	Seq_3177	CIC11T00000000080	YGR012W
Seq_1428	Seq_1428	CIC11T00000005734	YGR036C
Seq_1113	Seq_1113	CIC11T00000004285	YGR046W
Seq_511	Seq_511	CIC11T00000001411	YGR144W
Seq_3743	Seq_3743	CIC11T00000002045	YGR227W
Seq_376	Seq_376	CIC11T00000002523	YGR234W
Seq_3666	Seq_3666	CIC11T00000003083	YJL046W
Seq_4414	Seq_4414	CIC11T00000002059	YJL126W
Seq_1246	Seq_1246	CIC11T00000000006	YJR040W
Seq_165	Seq_165	CIC11T00000002073	YJR051W
Seq_3030	Seq_3030	CIC11T00000000001	YJR104C
Seq_49	Seq_49	CIC11T00000002148	YJR131W
Seq_1952	Seq_1952	CIC11T00000005066	YJR149W
Seq_1445	Seq_1445	CIC11T00000001436	YLR047C
Seq_467	Seq_467	CIC11T00000000738	YLR214W
Seq_405	Seq_405	CIC11T00000000042	YNR060W
Seq_1292	Seq_1292	CIC11T00000004282	YOL152W
Seq_3248	Seq_3248	CIC11T00000004601	YLL051C
Seq_138	Seq_138	CIC11T00000002326	YLR143W
Seq_387	Seq_387	CIC11T00000002582	YLR151C
Seq_4543	Seq_4543	CIC11T00000003761	YLR239C
Seq_4395	Seq_4395	CIC11T00000003906	YMR099C
Seq_1269	Seq_1269	CIC11T00000005293	YMR162C
Seq_1883	Seq_1883	CIC11T00000003784	YMR210W
Seq_1196	Seq_1196	CIC11T00000005547	YNL048W
Seq_5299	Seq_5299	CIC11T00000002790	YNL092W
Seq_4408	Seq_4408	CIC11T00000001696	YNL219C
Seq_718	Seq_718	CIC11T00000005556	YNL274C
Seq_3816	Seq_3816	CIC11T00000000484	YNR030W
Seq_758	Seq_758	CIC11T00000005205	YOL157C
Seq_1049	Seq_1049	CIC11T00000002715	YOR002W
Seq_1454	Seq_1454	CIC11T00000004394	YOR067C
Seq_1746	Seq_1746	CIC11T00000004595	YOR149C
Seq_1076	Seq_1076	CIC11T00000002269	YOR196C
Seq_5311	Seq_5311	CIC11T00000005491	YPL135W
Seq_510	Seq_510	CIC11T00000002911	YOR251C
Seq_5066	Seq_5066	CIC11T00000004509	YOR286W
Seq_3732	Seq_3732	CIC11T00000000402	YOR334W
Seq_2816	Seq_2816	CIC11T00000000512	YPL060W
Seq_3989	Seq_3989	CIC11T00000000623	YPL227C
Seq_1553	Seq_1553	CIC11T00000001358	YPR003C
Seq_5045	Seq_5045	CIC11T00000001459	YPR127W
Seq_5124	Seq_5124	CIC11T00000002085	YDR371W
Seq_927	Seq_927	CIC11T00000004537	YLR286C
Seq_2520	Seq_2520	CIC11T00000003907	YOR161C
Seq_4380	Seq_4380	CIC11T00000000460	YDR452W
Seq_4140	Seq_4140	CIC11T00000004986	YHR201C
Seq_652	Seq_652	CIC11T00000000491	YDR270W
Seq_2495	Seq_2495	CIC11T00000000565	YMR301C
Seq_3123	Seq_3123	CIC11T00000003652	YEL004W
Seq_3076	Seq_3076	CIC11T00000000836	YEL066W
Seq_2523	Seq_2523	CIC11T00000000964	YOL122C
Seq_4967	Seq_4967	CIC11T00000003290	YNL275W
Seq_2644	Seq_2644	CIC11T00000004538	YLR130C
Seq_2448	Seq_2448	CIC11T00000003443	YOL130W
Seq_1891	Seq_1891	CIC11T00000000335	YNL065W
Seq_1096	Seq_1096	CIC11T00000002694	YKR093W
Seq_1981	Seq_1981	CIC11T00000001169	YDR093W
Seq_2263	Seq_2263	CIC11T00000003105	YOR306C
Seq_2884	Seq_2884	CIC11T00000002517	YPR011C
Seq_5300	Seq_5300	CIC11T00000003266	YJL133W
Seq_1462	Seq_1462	CIC11T00000004756	YPR058W
Seq_3710	Seq_3710	CIC11T00000003463	YIL048W
Seq_4831	Seq_4831	CIC11T00000005161	Ashbya_aceri@Seq_3604
Seq_1783	Seq_1783	CIC11T00000004578	Babjeviella_inositovora@Seq_4035
Seq_2142	Seq_2142	CIC11T00000004728	Lachancea_mirantina@Seq_826
Seq_4258	Seq_4258	CIC11T00000001127	Metschnikowia_hibisci@Seq_562
Seq_53	Seq_53	CIC11T00000003997	Metschnikowia_arizonensis@Seq_1293
Seq_3137	Seq_3137	CIC11T00000001188	Pichia_membranifaciens@Seq_3416
Seq_2508	Seq_2508	CIC11T00000003313	Debaryomyces_hansenii@Seq_542
Seq_1063	Seq_1063	CIC11T00000000753	Metschnikowia_santaceciliae@Seq_532
Seq_3636	Seq_3636	CIC11T00000003284	Ascoidea_asiatica@Seq_6967
Seq_5423	Seq_5423	CIC11T00000003543	yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_6120
Seq_292	Seq_292	CIC11T00000002596	Metschnikowia_santaceciliae@Seq_2007
Seq_270	Seq_270	CIC11T00000003777	Fusarium_graminearum@Seq_9299
Seq_226	Seq_226	CIC11T00000001839	Metschnikowia_dekortum@Seq_4089
Seq_947	Seq_947	CIC11T00000005506	Metschnikowia_santaceciliae@Seq_1206
Seq_4407	Seq_4407	CIC11T00000002970	Kluyveromyces_lactis@Seq_2294
Seq_3314	Seq_3314	CIC11T00000002793	Lachancea_dasiensis@Seq_2651
Seq_3341	Seq_3341	CIC11T00000005614	yHMPu5000035665_Middelhovenomyces_tepae@Seq_1173
Seq_4261	Seq_4261	CIC11T00000004263	Fusarium_graminearum@Seq_1104
Seq_3695	Seq_3695	CIC11T00000005427, CIC11T00000000134	yHMPu5000041824_Debaryomyces_subglobosus@Seq_1557
Seq_1686	Seq_1686	CIC11T00000001965	Arxula_adeninivorans@Seq_862
Seq_246	Seq_246	CIC11T00000005929	Aspergillus_nidulans@Seq_2992
Seq_1436	Seq_1436	CIC11T00000005487	Metschnikowia_bowlesiae@Seq_2683
Seq_2145	Seq_2145	CIC11T00000004016	Kuraishia_capsulata@Seq_4378
Seq_374	Seq_374	CIC11T00000005927	yHMPu5000035296_Priceomyces_carsonii@Seq_1208
Seq_3053	Seq_3053	CIC11T00000004527	yHMPu5000041863_Candida_gorgasii@Seq_1079
Seq_1956	Seq_1956	CIC11T00000005426	yHMPu5000034946_Ambrosiozyma_oregonensis@Seq_4749
Seq_451	Seq_451	CIC11T00000003689	Metschnikowia_dekortum@Seq_167
Seq_1137	Seq_1137	CIC11T00000002653	Metschnikowia_matae@Seq_2628
Seq_383	Seq_383	CIC11T00000000627	Nadsonia_fulvescens_var_elongata@Seq_5575
Seq_3405	Seq_3405	CIC11T00000000391	yHMPu5000041833_Candida_tammaniensis@Seq_4018
Seq_3300	Seq_3300	CIC11T00000001360	Lachancea_cidri@Seq_4661
Seq_2919	Seq_2919	CIC11T00000001108	yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_2821
Seq_369	Seq_369	CIC11T00000001657, CIC11T00000000029	yHMPu5000041863_Candida_gorgasii@Seq_3887
Seq_2026	Seq_2026	CIC11T00000000091	yHMPu5000041863_Candida_gorgasii@Seq_3415
Seq_5071	Seq_5071	CIC11T00000004587	Metschnikowia_proteae@Seq_895
Seq_3785	Seq_3785	CIC11T00000001452	Nadsonia_fulvescens_var_elongata@Seq_2787
Seq_1308	Seq_1308	CIC11T00000005517	Millerozyma_acaciae@Seq_4071
Seq_1298	Seq_1298	CIC11T00000001994	yHMPu5000035665_Middelhovenomyces_tepae@Seq_3271
Seq_3559	Seq_3559	CIC11T00000005889	yHMPu5000034607_Saccharomycopsis_capsularis@Seq_2827
Seq_2572	Seq_2572	CIC11T00000005896	yHMPu5000041840_Candida_wancherniae@Seq_236
Seq_2399	Seq_2399	CIC11T00000004120	Metschnikowia_similis@Seq_1499
Seq_3310	Seq_3310	CIC11T00000001199	yHMPu5000035296_Priceomyces_carsonii@Seq_4312
Seq_1558	Seq_1558	CIC11T00000004793	yHMPu5000035335_Candida_blattae@Seq_1577
Seq_1235	Seq_1235	CIC11T00000002893	Metschnikowia_matae_maris@Seq_4805
Seq_4632	Seq_4632	CIC11T00000000562	Metschnikowia_kipukae@Seq_1387
Seq_4440	Seq_4440	CIC11T00000003353	Metschnikowia_mauinuiana@Seq_2942
Seq_3115	Seq_3115	CIC11T00000001408	Metschnikowia_matae_maris@Seq_4823
Seq_4029	Seq_4029	CIC11T00000005905	yHMPu5000026124_Ogataea_henricii@Seq_5027
Seq_2552	Seq_2552	CIC11T00000003459	Millerozyma_acaciae@Seq_1901
Seq_1820	Seq_1820	CIC11T00000005435	Metschnikowia_borealis@Seq_144
Seq_4610	Seq_4610	CIC11T00000005266	YKL209C
Seq_2313	Seq_2313	CIC11T00000003534	yHMPu5000034990_Candida_corydali@Seq_3601
Seq_623	Seq_623	CIC11T00000004843	Metschnikowia_santaceciliae@Seq_5740
Seq_3712	Seq_3712	CIC11T00000001241	yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_598
Seq_2315	Seq_2315	CIC11T00000001454	yHMPu5000041743_Candida_hawaiiana@Seq_3893
Seq_1122	Seq_1122	CIC11T00000005750	Arxula_adeninivorans@Seq_5367
Seq_572	Seq_572	CIC11T00000000031	Metschnikowia_bicuspidata@Seq_3769
Seq_2060	Seq_2060	CIC11T00000004523	yHMPu5000035671_Phaffomyces_antillensis@Seq_3997
Seq_5357	Seq_5357	CIC11T00000001386	Metschnikowia_santaceciliae@Seq_2763
Seq_2923	Seq_2923	CIC11T00000001697	Spathaspora_arborariae@Seq_5108
Seq_573	Seq_573	CIC11T00000005233	yHMPu5000034904_Ogataea_nonfermentans@Seq_2519
Seq_5493	Seq_5493	CIC11T00000004953	Kuraishia_capsulata@Seq_12
Seq_3350	Seq_3350	CIC11T00000003672	Candida_albicans@C2_09490W_A
Seq_4084	Seq_4084	CIC11T00000003916	Metschnikowia_continentalis@Seq_2992
Seq_1221	Seq_1221	CIC11T00000001310	Metschnikowia_mauinuiana@Seq_5548
Seq_305	Seq_305	CIC11T00000002318	Aspergillus_nidulans@Seq_2958
Seq_1398	Seq_1398	CIC11T00000005118	yHMPu5000035641_Yamadazyma_scolyti@Seq_4355
Seq_3416	Seq_3416	CIC11T00000000602	YDR211W
Seq_1385	Seq_1385	CIC11T00000004427	Lipomyces_starkeyi@Seq_8757
Seq_5036	Seq_5036	CIC11T00000000774	YCR087C-A
Seq_3106	Seq_3106	CIC11T00000003228	YDL067C
Seq_777	Seq_777	CIC11T00000000853	YDR231C
Seq_5023	Seq_5023	CIC11T00000002426	YGL187C
Seq_3105	Seq_3105	CIC11T00000005143	YGL191W
Seq_2173	Seq_2173	CIC11T00000003039	YGR062C
Seq_2363	Seq_2363	CIC11T00000002900	YHR051W
Seq_4011	Seq_4011	CIC11T00000001999	YHR116W
Seq_218	Seq_218	CIC11T00000004806	YLL018C-A
Seq_3279	Seq_3279	CIC11T00000005450	YLR039C
Seq_3854	Seq_3854	CIC11T00000003329	YNL052W
Seq_1399	Seq_1399	CIC11T00000003852	YPL132W
Seq_1138	Seq_1138	CIC11T00000001571	YBL045C
Seq_4341	Seq_4341	CIC11T00000002689	YDR529C
Seq_2049	Seq_2049	CIC11T00000002595	YEL024W
Seq_4640	Seq_4640	CIC11T00000004645	YFR033C
Seq_258	Seq_258	CIC11T00000005879	YGR183C
Seq_526	Seq_526	CIC11T00000005041	YHR001W-A
Seq_3609	Seq_3609	CIC11T00000001760	YJL166W
Seq_4276	Seq_4276	CIC11T00000003738	YOR065W
Seq_1647	Seq_1647	CIC11T00000000264	YPR191W
Seq_1669	Seq_1669	CIC11T00000000279	YBL099W
Seq_4724	Seq_4724	CIC11T00000000280	YBR039W
Seq_4885	Seq_4885	CIC11T00000005621	YCL005W-A
Seq_670	Seq_670	CIC11T00000002799	YDL004W
Seq_1579	Seq_1579	CIC11T00000001167	YDR298C
Seq_2961	Seq_2961	CIC11T00000001749	YDR322C-A
Seq_4454	Seq_4454	CIC11T00000002199	YDR377W
Seq_5050	Seq_5050	CIC11T00000005642	YJL180C
Seq_4663	Seq_4663	CIC11T00000005277	YJR121W
Seq_5156	Seq_5156	CIC11T00000003508	YKL016C
Seq_2954	Seq_2954	CIC11T00000002379	YLR295C
Seq_5380	Seq_5380	CIC11T00000004959	YLR393W
Seq_5031	Seq_5031	CIC11T00000002920	YML081C-A
Seq_4695	Seq_4695	CIC11T00000002695	YNL315C
Seq_5223	Seq_5223	CIC11T00000000980	YOL077W-A
Seq_2584	Seq_2584	CIC11T00000004807	YPL078C
Seq_5265	Seq_5265	CIC11T00000005653	YPR020W
Seq_4864	Seq_4864	CIC11T00000000345	YDL095W
Seq_4908	Seq_4908	CIC11T00000000328	YGR199W
Seq_5400	Seq_5400	CIC11T00000005316	YAL054C
Seq_4643	Seq_4643	CIC11T00000003542	YBL011W
Seq_2089	Seq_2089	CIC11T00000004152	YBL042C
Seq_4154	Seq_4154	CIC11T00000000178	YBR006W
Seq_3332	Seq_3332	CIC11T00000003249	YBR019C
Seq_4294	Seq_4294	CIC11T00000005567	YBR020W
Seq_4775	Seq_4775	CIC11T00000005707	YBR084W
Seq_4796	Seq_4796	CIC11T00000005078	YBR117C
Seq_1475	Seq_1475	CIC11T00000003323	YBR132C
Seq_1600	Seq_1600	CIC11T00000002352	YBR132C
Seq_2532	Seq_2532	CIC11T00000001041	YBR132C
