Var1	Var2	Var3
Seq_2122	Candida_intermedia@Seq_2122	CIC11T00000003867
Seq_2678	Candida_intermedia@Seq_2678	CIC11T00000004909
Seq_1525	Candida_intermedia@Seq_1525	CIC11T00000004999
Seq_433	Candida_intermedia@Seq_433	CIC11T00000000124
Seq_3505	Candida_intermedia@Seq_3505	CIC11T00000000888
Seq_2494	Candida_intermedia@Seq_2494	CIC11T00000000231
Seq_1285	Candida_intermedia@Seq_1285	CIC11T00000001908
Seq_1310	Candida_intermedia@Seq_1310	CIC11T00000003724
Seq_829	Candida_intermedia@Seq_829	CIC11T00000000183
Seq_2783	Candida_intermedia@Seq_2783	CIC11T00000001715
Seq_2224	Candida_intermedia@Seq_2224	CIC11T00000004389
Seq_2858	Candida_intermedia@Seq_2858	CIC11T00000001038
Seq_192	Candida_intermedia@Seq_192	CIC11T00000000899
Seq_1451	Candida_intermedia@Seq_1451	CIC11T00000005036
Seq_4234	Candida_intermedia@Seq_4234	CIC11T00000001951
Seq_5271	Candida_intermedia@Seq_5271	CIC11T00000003050
Seq_4700	Candida_intermedia@Seq_4700	CIC11T00000000775
Seq_1271	Candida_intermedia@Seq_1271	CIC11T00000002353
Seq_2258	Candida_intermedia@Seq_2258	CIC11T00000005194
Seq_3494	Candida_intermedia@Seq_3494	CIC11T00000002923
Seq_1136	Candida_intermedia@Seq_1136	CIC11T00000000385
Seq_1969	Candida_intermedia@Seq_1969	CIC11T00000004892
Seq_530	Candida_intermedia@Seq_530	CIC11T00000005132
Seq_4631	Candida_intermedia@Seq_4631	CIC11T00000004780
Seq_2030	Candida_intermedia@Seq_2030	CIC11T00000002666
Seq_2297	Candida_intermedia@Seq_2297	CIC11T00000001779
Seq_135	Candida_intermedia@Seq_135	CIC11T00000002999
Seq_3436	Candida_intermedia@Seq_3436	CIC11T00000004253
Seq_1427	Candida_intermedia@Seq_1427	CIC11T00000000284
Seq_4259	Candida_intermedia@Seq_4259	CIC11T00000002138
Seq_5498	Candida_intermedia@Seq_5498	CIC11T00000004439
Seq_2281	Candida_intermedia@Seq_2281	CIC11T00000002578
Seq_1054	Candida_intermedia@Seq_1054	CIC11T00000002903
Seq_4920	Candida_intermedia@Seq_4920	CIC11T00000005447
Seq_291	Candida_intermedia@Seq_291	CIC11T00000002737
Seq_3263	Candida_intermedia@Seq_3263	CIC11T00000000721
Seq_1684	Candida_intermedia@Seq_1684	CIC11T00000000468
Seq_252	Candida_intermedia@Seq_252	CIC11T00000005376
Seq_891	Candida_intermedia@Seq_891	CIC11T00000000882
Seq_1517	Candida_intermedia@Seq_1517	CIC11T00000005327
Seq_4476	Candida_intermedia@Seq_4476	CIC11T00000000667
Seq_2272	Candida_intermedia@Seq_2272	CIC11T00000002481
Seq_2022	Candida_intermedia@Seq_2022	CIC11T00000003579
Seq_783	Candida_intermedia@Seq_783	CIC11T00000003783
Seq_4976	Candida_intermedia@Seq_4976	CIC11T00000003493
Seq_372	Candida_intermedia@Seq_372	CIC11T00000005367
Seq_1658	Candida_intermedia@Seq_1658	CIC11T00000001442
Seq_90	Candida_intermedia@Seq_90	CIC11T00000004880
Seq_5334	Candida_intermedia@Seq_5334	CIC11T00000001587
Seq_1418	Candida_intermedia@Seq_1418	CIC11T00000003139
Seq_4377	Candida_intermedia@Seq_4377	CIC11T00000000819
Seq_725	Candida_intermedia@Seq_725	CIC11T00000000357
Seq_2032	Candida_intermedia@Seq_2032	CIC11T00000001336
Seq_1975	Candida_intermedia@Seq_1975	CIC11T00000000165
Seq_1655	Candida_intermedia@Seq_1655	CIC11T00000000434
Seq_604	Candida_intermedia@Seq_604	CIC11T00000000681
Seq_1869	Candida_intermedia@Seq_1869	CIC11T00000001972
Seq_1085	Candida_intermedia@Seq_1085	CIC11T00000003729
Seq_3440	Candida_intermedia@Seq_3440	CIC11T00000000917
Seq_761	Candida_intermedia@Seq_761	CIC11T00000002470
Seq_1942	Candida_intermedia@Seq_1942	CIC11T00000001399
Seq_3335	Candida_intermedia@Seq_3335	CIC11T00000004125
Seq_1577	Candida_intermedia@Seq_1577	CIC11T00000000521
Seq_474	Candida_intermedia@Seq_474	CIC11T00000003616
Seq_936	Candida_intermedia@Seq_936	CIC11T00000004119
Seq_950	Candida_intermedia@Seq_950	CIC11T00000001095
Seq_1594	Candida_intermedia@Seq_1594	CIC11T00000005208
Seq_2132	Candida_intermedia@Seq_2132	CIC11T00000004406
Seq_1118	Candida_intermedia@Seq_1118	CIC11T00000003121
Seq_5178	Candida_intermedia@Seq_5178	CIC11T00000001162, CIC11T00000004691, CIC11T00000004469
Seq_641	Candida_intermedia@Seq_641	CIC11T00000002330
Seq_5467	Candida_intermedia@Seq_5467	CIC11T00000003612
Seq_4814	Candida_intermedia@Seq_4814	CIC11T00000002213
Seq_8	Candida_intermedia@Seq_8	CIC11T00000001196
Seq_5533	Candida_intermedia@Seq_5533	CIC11T00000001026
Seq_2822	Candida_intermedia@Seq_2822	CIC11T00000005573
Seq_5525	Candida_intermedia@Seq_5525	CIC11T00000000694
Seq_3243	Candida_intermedia@Seq_3243	CIC11T00000005689
Seq_4077	Candida_intermedia@Seq_4077	CIC11T00000000218
Seq_1656	Candida_intermedia@Seq_1656	CIC11T00000004896
Seq_748	Candida_intermedia@Seq_748	CIC11T00000004106
Seq_3526	Candida_intermedia@Seq_3526	CIC11T00000003369
Seq_2161	Candida_intermedia@Seq_2161	CIC11T00000001897
Seq_3438	Candida_intermedia@Seq_3438	CIC11T00000002984
Seq_219	Candida_intermedia@Seq_219	CIC11T00000002678
Seq_4218	Candida_intermedia@Seq_4218	CIC11T00000001733
Seq_78	Candida_intermedia@Seq_78	CIC11T00000003861
Seq_1695	Candida_intermedia@Seq_1695	CIC11T00000003233
Seq_2640	Candida_intermedia@Seq_2640	CIC11T00000000004
Seq_3916	Candida_intermedia@Seq_3916	CIC11T00000004721
Seq_4506	Candida_intermedia@Seq_4506	CIC11T00000005570
Seq_3829	Candida_intermedia@Seq_3829	CIC11T00000004424
Seq_163	Candida_intermedia@Seq_163	CIC11T00000004712
Seq_854	Candida_intermedia@Seq_854	CIC11T00000001515
Seq_2341	Candida_intermedia@Seq_2341	CIC11T00000001523
Seq_944	Candida_intermedia@Seq_944	CIC11T00000000988
Seq_269	Candida_intermedia@Seq_269	CIC11T00000004113
Seq_80	Candida_intermedia@Seq_80	CIC11T00000002309
Seq_957	Candida_intermedia@Seq_957	CIC11T00000005911
Seq_3166	Candida_intermedia@Seq_3166	CIC11T00000000691
Seq_2159	Candida_intermedia@Seq_2159	CIC11T00000000646
Seq_315	Candida_intermedia@Seq_315	CIC11T00000005856
Seq_4208	Candida_intermedia@Seq_4208	CIC11T00000001260
Seq_1683	Candida_intermedia@Seq_1683	CIC11T00000000644
Seq_4611	Candida_intermedia@Seq_4611	CIC11T00000004761
Seq_4229	Candida_intermedia@Seq_4229	CIC11T00000002951
Seq_1772	Candida_intermedia@Seq_1772	CIC11T00000000144
Seq_3985	Candida_intermedia@Seq_3985	CIC11T00000001122
Seq_3982	Candida_intermedia@Seq_3982	CIC11T00000000123
Seq_4130	Candida_intermedia@Seq_4130	CIC11T00000003808
Seq_3851	Candida_intermedia@Seq_3851	CIC11T00000001800
Seq_4764	Candida_intermedia@Seq_4764	CIC11T00000005871
Seq_5290	Candida_intermedia@Seq_5290	CIC11T00000003826
Seq_2675	Candida_intermedia@Seq_2675	CIC11T00000001876
Seq_1828	Candida_intermedia@Seq_1828	CIC11T00000002883
Seq_4174	Candida_intermedia@Seq_4174	CIC11T00000005660
Seq_1351	Candida_intermedia@Seq_1351	CIC11T00000005671
Seq_5200	Candida_intermedia@Seq_5200	CIC11T00000000727
Seq_687	Candida_intermedia@Seq_687	CIC11T00000004269
Seq_612	Candida_intermedia@Seq_612	CIC11T00000005737
Seq_2802	Candida_intermedia@Seq_2802	CIC11T00000002744
Seq_4432	Candida_intermedia@Seq_4432	CIC11T00000005469
Seq_2459	Candida_intermedia@Seq_2459	CIC11T00000003822
Seq_4613	Candida_intermedia@Seq_4613	CIC11T00000000505
Seq_908	Candida_intermedia@Seq_908	CIC11T00000001210
Seq_4056	Candida_intermedia@Seq_4056	CIC11T00000002365
Seq_4388	Candida_intermedia@Seq_4388	CIC11T00000000940
Seq_3702	Candida_intermedia@Seq_3702	CIC11T00000004391
Seq_2669	Candida_intermedia@Seq_2669	CIC11T00000002650
Seq_2102	Candida_intermedia@Seq_2102	CIC11T00000000661
Seq_4334	Candida_intermedia@Seq_4334	CIC11T00000000367
Seq_2091	Candida_intermedia@Seq_2091	CIC11T00000000465
Seq_1707	Candida_intermedia@Seq_1707	CIC11T00000004924
Seq_3191	Candida_intermedia@Seq_3191	CIC11T00000001945
Seq_1107	Candida_intermedia@Seq_1107	CIC11T00000002442
Seq_3882	Candida_intermedia@Seq_3882	CIC11T00000004077
Seq_368	Candida_intermedia@Seq_368	CIC11T00000003407
Seq_410	Candida_intermedia@Seq_410	CIC11T00000001289
Seq_4617	Candida_intermedia@Seq_4617	CIC11T00000003292
Seq_1101	Candida_intermedia@Seq_1101	CIC11T00000000571
Seq_3045	Candida_intermedia@Seq_3045	CIC11T00000003419
Seq_767	Candida_intermedia@Seq_767	CIC11T00000001420
Seq_5101	Candida_intermedia@Seq_5101	CIC11T00000005342
Seq_5168	Candida_intermedia@Seq_5168	CIC11T00000000846
Seq_4372	Candida_intermedia@Seq_4372	CIC11T00000005035
Seq_2832	Candida_intermedia@Seq_2832	CIC11T00000000204
Seq_1471	Candida_intermedia@Seq_1471	CIC11T00000005595
Seq_2083	Candida_intermedia@Seq_2083	CIC11T00000001313
Seq_489	Candida_intermedia@Seq_489	CIC11T00000002952
Seq_639	Candida_intermedia@Seq_639	CIC11T00000003243
Seq_2810	Candida_intermedia@Seq_2810	CIC11T00000001580
Seq_2707	Candida_intermedia@Seq_2707	CIC11T00000004822
Seq_336	Candida_intermedia@Seq_336	CIC11T00000002381
Seq_3948	Candida_intermedia@Seq_3948	CIC11T00000002494
Seq_2238	Candida_intermedia@Seq_2238	CIC11T00000004444
Seq_1209	Candida_intermedia@Seq_1209	CIC11T00000005667
Seq_424	Candida_intermedia@Seq_424	CIC11T00000000181
Seq_3619	Candida_intermedia@Seq_3619	CIC11T00000004887
Seq_1080	Candida_intermedia@Seq_1080	CIC11T00000004115
Seq_4807	Candida_intermedia@Seq_4807	CIC11T00000004770
Seq_4856	Candida_intermedia@Seq_4856	CIC11T00000002012
Seq_3237	Candida_intermedia@Seq_3237	CIC11T00000005302
Seq_3162	Candida_intermedia@Seq_3162	CIC11T00000000007
Seq_4038	Candida_intermedia@Seq_4038	CIC11T00000000746
Seq_5180	Candida_intermedia@Seq_5180	CIC11T00000004280
Seq_281	Candida_intermedia@Seq_281	CIC11T00000005637
Seq_2714	Candida_intermedia@Seq_2714	CIC11T00000003925
Seq_478	Candida_intermedia@Seq_478	CIC11T00000004363
Seq_1380	Candida_intermedia@Seq_1380	CIC11T00000002783
Seq_3186	Candida_intermedia@Seq_3186	CIC11T00000000728
Seq_1064	Candida_intermedia@Seq_1064	CIC11T00000002440
Seq_3915	Candida_intermedia@Seq_3915	CIC11T00000005656
Seq_4963	Candida_intermedia@Seq_4963	CIC11T00000000656
Seq_1368	Candida_intermedia@Seq_1368	CIC11T00000004441
Seq_4445	Candida_intermedia@Seq_4445	CIC11T00000004630
Seq_4737	Candida_intermedia@Seq_4737	CIC11T00000004143
Seq_4666	Candida_intermedia@Seq_4666	CIC11T00000001969
Seq_5306	Candida_intermedia@Seq_5306	CIC11T00000002223
Seq_723	Candida_intermedia@Seq_723	CIC11T00000002803
Seq_2901	Candida_intermedia@Seq_2901	CIC11T00000003804
Seq_2093	Candida_intermedia@Seq_2093	CIC11T00000000896
Seq_3346	Candida_intermedia@Seq_3346	CIC11T00000004662
Seq_350	Candida_intermedia@Seq_350	CIC11T00000003214
Seq_4998	Candida_intermedia@Seq_4998	CIC11T00000004356
Seq_2877	Candida_intermedia@Seq_2877	CIC11T00000003476
Seq_5358	Candida_intermedia@Seq_5358	CIC11T00000003174
Seq_4183	Candida_intermedia@Seq_4183	CIC11T00000003807
Seq_1998	Candida_intermedia@Seq_1998	CIC11T00000004528
Seq_5514	Candida_intermedia@Seq_5514	CIC11T00000002118
Seq_5174	Candida_intermedia@Seq_5174	CIC11T00000002087
Seq_3506	Candida_intermedia@Seq_3506	CIC11T00000003480
Seq_952	Candida_intermedia@Seq_952	CIC11T00000004834
Seq_1622	Candida_intermedia@Seq_1622	CIC11T00000004390
Seq_676	Candida_intermedia@Seq_676	CIC11T00000001645
Seq_188	Candida_intermedia@Seq_188	CIC11T00000002355
Seq_2010	Candida_intermedia@Seq_2010	CIC11T00000003507
Seq_1364	Candida_intermedia@Seq_1364	CIC11T00000004554
Seq_3875	Candida_intermedia@Seq_3875	CIC11T00000000059
Seq_845	Candida_intermedia@Seq_845	CIC11T00000003556
Seq_1024	Candida_intermedia@Seq_1024	CIC11T00000000485
Seq_3026	Candida_intermedia@Seq_3026	CIC11T00000001156
Seq_4792	Candida_intermedia@Seq_4792	CIC11T00000002668
Seq_1536	Candida_intermedia@Seq_1536	CIC11T00000003390
Seq_642	Candida_intermedia@Seq_642	CIC11T00000004104
Seq_2475	Candida_intermedia@Seq_2475	CIC11T00000002868
Seq_3912	Candida_intermedia@Seq_3912	CIC11T00000005612
Seq_4986	Candida_intermedia@Seq_4986	CIC11T00000003357
Seq_1701	Candida_intermedia@Seq_1701	CIC11T00000001601
Seq_3389	Candida_intermedia@Seq_3389	CIC11T00000002605
Seq_2985	Candida_intermedia@Seq_2985	CIC11T00000004003
Seq_5421	Candida_intermedia@Seq_5421	CIC11T00000001395
Seq_1160	Candida_intermedia@Seq_1160	CIC11T00000003277
Seq_5250	Candida_intermedia@Seq_5250	CIC11T00000005509
Seq_4841	Candida_intermedia@Seq_4841	CIC11T00000003331
Seq_4317	Candida_intermedia@Seq_4317	CIC11T00000001027
Seq_118	Candida_intermedia@Seq_118	CIC11T00000003247
Seq_4006	Candida_intermedia@Seq_4006	CIC11T00000003471
Seq_1519	Candida_intermedia@Seq_1519	CIC11T00000001973
Seq_3351	Candida_intermedia@Seq_3351	CIC11T00000003676
Seq_3689	Candida_intermedia@Seq_3689	CIC11T00000004277
Seq_2844	Candida_intermedia@Seq_2844	CIC11T00000002356
Seq_2902	Candida_intermedia@Seq_2902	CIC11T00000005394
Seq_245	Candida_intermedia@Seq_245	CIC11T00000000355
Seq_4803	Candida_intermedia@Seq_4803	CIC11T00000002829
Seq_3270	Candida_intermedia@Seq_3270	CIC11T00000001133
Seq_1277	Candida_intermedia@Seq_1277	CIC11T00000003102
Seq_2192	Candida_intermedia@Seq_2192	CIC11T00000003295
Seq_260	Candida_intermedia@Seq_260	CIC11T00000001626
Seq_3858	Candida_intermedia@Seq_3858	CIC11T00000000780
Seq_194	Candida_intermedia@Seq_194	CIC11T00000005084
Seq_1662	Candida_intermedia@Seq_1662	CIC11T00000002398
Seq_1545	Candida_intermedia@Seq_1545	CIC11T00000004412
Seq_4826	Candida_intermedia@Seq_4826	CIC11T00000002301
Seq_2497	Candida_intermedia@Seq_2497	CIC11T00000001513
Seq_3038	Candida_intermedia@Seq_3038	CIC11T00000002863
Seq_1936	Candida_intermedia@Seq_1936	CIC11T00000003641
Seq_4393	Candida_intermedia@Seq_4393	CIC11T00000003971
Seq_2437	Candida_intermedia@Seq_2437	CIC11T00000000609
Seq_850	Candida_intermedia@Seq_850	CIC11T00000001415
Seq_1808	Candida_intermedia@Seq_1808	CIC11T00000005177
Seq_4690	Candida_intermedia@Seq_4690	CIC11T00000005553
Seq_2762	Candida_intermedia@Seq_2762	CIC11T00000000283
Seq_2376	Candida_intermedia@Seq_2376	CIC11T00000003213
Seq_37	Candida_intermedia@Seq_37	CIC11T00000001229
Seq_3514	Candida_intermedia@Seq_3514	CIC11T00000004061
Seq_5444	Candida_intermedia@Seq_5444	CIC11T00000005691
Seq_3291	Candida_intermedia@Seq_3291	CIC11T00000005501
Seq_3560	Candida_intermedia@Seq_3560	CIC11T00000003894
Seq_3999	Candida_intermedia@Seq_3999	CIC11T00000002420
Seq_660	Candida_intermedia@Seq_660	CIC11T00000001461
Seq_4382	Candida_intermedia@Seq_4382	CIC11T00000001314
Seq_2560	Candida_intermedia@Seq_2560	CIC11T00000004575
Seq_617	Candida_intermedia@Seq_617	CIC11T00000001632
Seq_2230	Candida_intermedia@Seq_2230	CIC11T00000004800
Seq_4136	Candida_intermedia@Seq_4136	CIC11T00000005705
Seq_658	Candida_intermedia@Seq_658	CIC11T00000003968
Seq_2414	Candida_intermedia@Seq_2414	CIC11T00000000814
Seq_3842	Candida_intermedia@Seq_3842	CIC11T00000005758
Seq_2980	Candida_intermedia@Seq_2980	CIC11T00000003271
Seq_977	Candida_intermedia@Seq_977	CIC11T00000001660
Seq_2136	Candida_intermedia@Seq_2136	CIC11T00000002105
Seq_1719	Candida_intermedia@Seq_1719	CIC11T00000001061
Seq_4582	Candida_intermedia@Seq_4582	CIC11T00000002099
Seq_3089	Candida_intermedia@Seq_3089	CIC11T00000001368
Seq_3675	Candida_intermedia@Seq_3675	CIC11T00000004332
Seq_1026	Candida_intermedia@Seq_1026	CIC11T00000001785
Seq_4352	Candida_intermedia@Seq_4352	CIC11T00000004345
Seq_1139	Candida_intermedia@Seq_1139	CIC11T00000001667
Seq_2612	Candida_intermedia@Seq_2612	CIC11T00000004725
Seq_327	Candida_intermedia@Seq_327	CIC11T00000005419
Seq_2348	Candida_intermedia@Seq_2348	CIC11T00000004687
Seq_1679	Candida_intermedia@Seq_1679	CIC11T00000000672
Seq_2838	Candida_intermedia@Seq_2838	CIC11T00000004945
Seq_4429	Candida_intermedia@Seq_4429	CIC11T00000003098
Seq_5038	Candida_intermedia@Seq_5038	CIC11T00000000878
Seq_3376	Candida_intermedia@Seq_3376	CIC11T00000002101
Seq_1297	Candida_intermedia@Seq_1297	CIC11T00000005842
Seq_2371	Candida_intermedia@Seq_2371	CIC11T00000000718
Seq_5108	Candida_intermedia@Seq_5108	CIC11T00000002757
Seq_4927	Candida_intermedia@Seq_4927	CIC11T00000003810
Seq_2076	Candida_intermedia@Seq_2076	CIC11T00000002921
Seq_4734	Candida_intermedia@Seq_4734	CIC11T00000004343
Seq_5258	Candida_intermedia@Seq_5258	CIC11T00000001535
Seq_2498	Candida_intermedia@Seq_2498	CIC11T00000003034
Seq_988	Candida_intermedia@Seq_988	CIC11T00000003110
Seq_2482	Candida_intermedia@Seq_2482	CIC11T00000001370
Seq_5096	Candida_intermedia@Seq_5096	CIC11T00000003541
Seq_3251	Candida_intermedia@Seq_3251	CIC11T00000000941
Seq_1966	Candida_intermedia@Seq_1966	CIC11T00000003776
Seq_77	Candida_intermedia@Seq_77	CIC11T00000001356
Seq_4225	Candida_intermedia@Seq_4225	CIC11T00000003298
Seq_5529	Candida_intermedia@Seq_5529	CIC11T00000005258
Seq_1331	Candida_intermedia@Seq_1331	CIC11T00000002220
Seq_3177	Candida_intermedia@Seq_3177	CIC11T00000000080
Seq_1428	Candida_intermedia@Seq_1428	CIC11T00000005734
Seq_1113	Candida_intermedia@Seq_1113	CIC11T00000004285
Seq_511	Candida_intermedia@Seq_511	CIC11T00000001411
Seq_3743	Candida_intermedia@Seq_3743	CIC11T00000002045
Seq_376	Candida_intermedia@Seq_376	CIC11T00000002523
Seq_3666	Candida_intermedia@Seq_3666	CIC11T00000003083
Seq_4414	Candida_intermedia@Seq_4414	CIC11T00000002059
Seq_1246	Candida_intermedia@Seq_1246	CIC11T00000000006
Seq_165	Candida_intermedia@Seq_165	CIC11T00000002073
Seq_3030	Candida_intermedia@Seq_3030	CIC11T00000000001
Seq_49	Candida_intermedia@Seq_49	CIC11T00000002148
Seq_1952	Candida_intermedia@Seq_1952	CIC11T00000005066
Seq_1445	Candida_intermedia@Seq_1445	CIC11T00000001436
Seq_467	Candida_intermedia@Seq_467	CIC11T00000000738
Seq_405	Candida_intermedia@Seq_405	CIC11T00000000042
Seq_1292	Candida_intermedia@Seq_1292	CIC11T00000004282
Seq_3248	Candida_intermedia@Seq_3248	CIC11T00000004601
Seq_138	Candida_intermedia@Seq_138	CIC11T00000002326
Seq_387	Candida_intermedia@Seq_387	CIC11T00000002582
Seq_4543	Candida_intermedia@Seq_4543	CIC11T00000003761
Seq_4395	Candida_intermedia@Seq_4395	CIC11T00000003906
Seq_1269	Candida_intermedia@Seq_1269	CIC11T00000005293
Seq_1883	Candida_intermedia@Seq_1883	CIC11T00000003784
Seq_1196	Candida_intermedia@Seq_1196	CIC11T00000005547
Seq_5299	Candida_intermedia@Seq_5299	CIC11T00000002790
Seq_4408	Candida_intermedia@Seq_4408	CIC11T00000001696
Seq_718	Candida_intermedia@Seq_718	CIC11T00000005556
Seq_3816	Candida_intermedia@Seq_3816	CIC11T00000000484
Seq_758	Candida_intermedia@Seq_758	CIC11T00000005205
Seq_1049	Candida_intermedia@Seq_1049	CIC11T00000002715
Seq_1454	Candida_intermedia@Seq_1454	CIC11T00000004394
Seq_1746	Candida_intermedia@Seq_1746	CIC11T00000004595
Seq_1076	Candida_intermedia@Seq_1076	CIC11T00000002269
Seq_5311	Candida_intermedia@Seq_5311	CIC11T00000005491
Seq_510	Candida_intermedia@Seq_510	CIC11T00000002911
Seq_5066	Candida_intermedia@Seq_5066	CIC11T00000004509
Seq_3732	Candida_intermedia@Seq_3732	CIC11T00000000402
Seq_2816	Candida_intermedia@Seq_2816	CIC11T00000000512
Seq_3989	Candida_intermedia@Seq_3989	CIC11T00000000623
Seq_1553	Candida_intermedia@Seq_1553	CIC11T00000001358
Seq_5045	Candida_intermedia@Seq_5045	CIC11T00000001459
Seq_5124	Candida_intermedia@Seq_5124	CIC11T00000002085
Seq_927	Candida_intermedia@Seq_927	CIC11T00000004537
Seq_2520	Candida_intermedia@Seq_2520	CIC11T00000003907
Seq_4380	Candida_intermedia@Seq_4380	CIC11T00000000460
Seq_4140	Candida_intermedia@Seq_4140	CIC11T00000004986
Seq_652	Candida_intermedia@Seq_652	Seq_652
Seq_2495	Candida_intermedia@Seq_2495	CIC11T00000000565
Seq_3123	Candida_intermedia@Seq_3123	CIC11T00000003652
Seq_3076	Candida_intermedia@Seq_3076	CIC11T00000000836
Seq_2523	Candida_intermedia@Seq_2523	CIC11T00000000964
Seq_4967	Candida_intermedia@Seq_4967	CIC11T00000003290
Seq_2644	Candida_intermedia@Seq_2644	CIC11T00000004538
Seq_2448	Candida_intermedia@Seq_2448	CIC11T00000003443
Seq_1891	Candida_intermedia@Seq_1891	CIC11T00000000335
Seq_1096	Candida_intermedia@Seq_1096	CIC11T00000002694
Seq_1981	Candida_intermedia@Seq_1981	CIC11T00000001169
Seq_2263	Candida_intermedia@Seq_2263	CIC11T00000003105
Seq_2884	Candida_intermedia@Seq_2884	CIC11T00000002517
Seq_5300	Candida_intermedia@Seq_5300	CIC11T00000003266
Seq_1462	Candida_intermedia@Seq_1462	CIC11T00000004756
Seq_3710	Candida_intermedia@Seq_3710	CIC11T00000003463
Seq_4831	Candida_intermedia@Seq_4831	CIC11T00000005161
Seq_1783	Candida_intermedia@Seq_1783	CIC11T00000004578
Seq_2142	Candida_intermedia@Seq_2142	CIC11T00000004728
Seq_4258	Candida_intermedia@Seq_4258	CIC11T00000001127
Seq_53	Candida_intermedia@Seq_53	CIC11T00000003997
Seq_3137	Candida_intermedia@Seq_3137	CIC11T00000001188
Seq_2508	Candida_intermedia@Seq_2508	CIC11T00000003313
Seq_1063	Candida_intermedia@Seq_1063	CIC11T00000000753
Seq_3636	Candida_intermedia@Seq_3636	CIC11T00000003284
Seq_5423	Candida_intermedia@Seq_5423	CIC11T00000003543
Seq_292	Candida_intermedia@Seq_292	CIC11T00000002596
Seq_270	Candida_intermedia@Seq_270	CIC11T00000003777
Seq_226	Candida_intermedia@Seq_226	CIC11T00000001839
Seq_947	Candida_intermedia@Seq_947	CIC11T00000005506
Seq_4407	Candida_intermedia@Seq_4407	CIC11T00000002970
Seq_3314	Candida_intermedia@Seq_3314	CIC11T00000002793
Seq_3341	Candida_intermedia@Seq_3341	CIC11T00000005614
Seq_4261	Candida_intermedia@Seq_4261	CIC11T00000004263
Seq_3695	Candida_intermedia@Seq_3695	CIC11T00000005427, CIC11T00000000134
Seq_1686	Candida_intermedia@Seq_1686	CIC11T00000001965
Seq_246	Candida_intermedia@Seq_246	CIC11T00000005929
Seq_1436	Candida_intermedia@Seq_1436	CIC11T00000005487
Seq_2145	Candida_intermedia@Seq_2145	CIC11T00000004016
Seq_374	Candida_intermedia@Seq_374	CIC11T00000005927
Seq_3053	Candida_intermedia@Seq_3053	CIC11T00000004527
Seq_1956	Candida_intermedia@Seq_1956	CIC11T00000005426
Seq_451	Candida_intermedia@Seq_451	CIC11T00000003689
Seq_1137	Candida_intermedia@Seq_1137	CIC11T00000002653
Seq_383	Candida_intermedia@Seq_383	CIC11T00000000627
Seq_3405	Candida_intermedia@Seq_3405	CIC11T00000000391
Seq_3300	Candida_intermedia@Seq_3300	CIC11T00000001360
Seq_2919	Candida_intermedia@Seq_2919	CIC11T00000001108
Seq_369	Candida_intermedia@Seq_369	CIC11T00000001657, CIC11T00000000029
Seq_2026	Candida_intermedia@Seq_2026	CIC11T00000000091
Seq_5071	Candida_intermedia@Seq_5071	CIC11T00000004587
Seq_3785	Candida_intermedia@Seq_3785	CIC11T00000001452
Seq_1308	Candida_intermedia@Seq_1308	CIC11T00000005517
Seq_1298	Candida_intermedia@Seq_1298	CIC11T00000001994
Seq_3559	Candida_intermedia@Seq_3559	CIC11T00000005889
Seq_2572	Candida_intermedia@Seq_2572	CIC11T00000005896
Seq_2399	Candida_intermedia@Seq_2399	CIC11T00000004120
Seq_3310	Candida_intermedia@Seq_3310	CIC11T00000001199
Seq_1558	Candida_intermedia@Seq_1558	CIC11T00000004793
Seq_1235	Candida_intermedia@Seq_1235	CIC11T00000002893
Seq_4632	Candida_intermedia@Seq_4632	CIC11T00000000562
Seq_4440	Candida_intermedia@Seq_4440	CIC11T00000003353
Seq_3115	Candida_intermedia@Seq_3115	CIC11T00000001408
Seq_4029	Candida_intermedia@Seq_4029	CIC11T00000005905
Seq_2552	Candida_intermedia@Seq_2552	CIC11T00000003459
Seq_1820	Candida_intermedia@Seq_1820	CIC11T00000005435
Seq_4610	Candida_intermedia@Seq_4610	CIC11T00000005266
Seq_2313	Candida_intermedia@Seq_2313	CIC11T00000003534
Seq_623	Candida_intermedia@Seq_623	Seq_623
Seq_3712	Candida_intermedia@Seq_3712	CIC11T00000001241
Seq_2315	Candida_intermedia@Seq_2315	CIC11T00000001454
Seq_1122	Candida_intermedia@Seq_1122	CIC11T00000005750
Seq_572	Candida_intermedia@Seq_572	CIC11T00000000031
Seq_2060	Candida_intermedia@Seq_2060	CIC11T00000004523
Seq_5357	Candida_intermedia@Seq_5357	CIC11T00000001386
Seq_2923	Candida_intermedia@Seq_2923	CIC11T00000001697
Seq_573	Candida_intermedia@Seq_573	CIC11T00000005233
Seq_5493	Candida_intermedia@Seq_5493	CIC11T00000004953
Seq_3350	Candida_intermedia@Seq_3350	CIC11T00000003672
Seq_4084	Candida_intermedia@Seq_4084	CIC11T00000003916
Seq_1221	Candida_intermedia@Seq_1221	CIC11T00000001310
Seq_305	Candida_intermedia@Seq_305	CIC11T00000002318
Seq_1398	Candida_intermedia@Seq_1398	CIC11T00000005118
Seq_3416	Candida_intermedia@Seq_3416	CIC11T00000000602
Seq_1385	Candida_intermedia@Seq_1385	CIC11T00000004427
Seq_5036	Candida_intermedia@Seq_5036	CIC11T00000000774
Seq_3106	Candida_intermedia@Seq_3106	CIC11T00000003228
Seq_777	Candida_intermedia@Seq_777	CIC11T00000000853
